,match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
82,5233544309,4391439401,True,1581200088,1401,4797,4,7,22,79,8,156,"110,93,36,13,128","59,8,31,100,102"
81,5233544214,4391445673,False,1581200079,1758,4559,6,7,22,72,8,193,"8,104,65,80,75","54,96,128,97,86"
80,5233544209,4391448435,False,1581200091,2118,4142,2,7,22,44,7,136,"26,107,54,113,28","15,42,21,75,14"
79,5233543814,4391446345,True,1581200059,2022,4655,3,7,22,67,6,193,"74,40,20,6,104","59,44,31,28,128"
78,5233543805,4391448631,True,1581200039,2220,4817,1,7,22,48,3,184,"54,28,71,22,30","11,64,14,4,9"
77,5233543003,4391441953,True,1581199999,1627,5058,5,7,22,78,8,133,"10,103,20,46,51","91,93,16,9,40"
76,5233542902,4391445282,True,1581199995,1783,4177,2,7,22,62,4,184,"20,48,94,32,2","79,13,114,19,28"
75,5233542713,4391445691,False,1581199982,1919,4271,1,7,22,64,6,156,"27,1,46,97,86","19,76,54,69,90"
74,5233542419,4391447229,False,1581199959,2025,4829,1,7,22,59,8,137,"104,39,31,94,14","78,109,2,111,119"
73,5233541812,4391442749,True,1581199919,1732,5351,4,7,22,80,6,137,"128,59,108,100,8","51,25,14,26,41"
72,5233541600,4391434894,False,1581199907,1224,4521,5,7,22,72,8,191,"19,101,91,59,70","58,2,126,12,64"
71,5233540117,4391448355,True,1581199799,2383,4365,3,7,22,57,4,201,"75,27,42,98,22","84,49,74,41,14"
70,5233540105,4391441698,False,1581199796,1912,5167,8,7,22,77,8,201,"21,110,70,60,84","26,92,48,121,104"
69,5233539708,4391444013,True,1581199772,2037,4760,4,7,22,72,6,188,"51,75,13,12,5","8,60,86,31,34"
68,5233539519,4391449589,False,1581199760,2400,4702,3,7,22,71,6,131,"51,76,101,30,93","28,86,1,26,119"
67,5233539503,4391446624,False,1581199760,2181,4389,1,7,22,63,5,186,"21,64,13,88,8","59,121,57,114,110"
66,5233539417,4391443383,False,1581199752,1969,4785,7,7,22,71,8,137,"110,12,87,64,46","120,26,74,84,8"
65,5233539300,4391447981,True,1581199737,2412,4380,6,7,22,71,9,132,"65,31,56,7,54","13,113,12,128,83"
64,5233539203,4391443000,False,1581199741,1786,4575,1,7,22,49,7,182,"1,19,63,14,73","95,82,31,26,44"
63,5233538710,4391445625,False,1581199697,2252,4435,2,7,22,63,3,251,"93,17,74,63,27","80,121,14,4,126"
62,5233538606,4391434944,True,1581199695,1424,4391,5,7,22,63,8,184,"47,22,83,95,40","107,13,59,86,1"
61,5233538318,4391443454,False,1581199676,1946,4113,4,7,22,54,6,201,"93,23,20,14,69","28,86,11,15,68"
60,5233538107,4391447707,True,1581199656,2245,4275,2,0,22,52,3,171,"94,14,71,114,5","74,23,26,48,47"
59,5233538100,4391439926,False,1581199656,1745,4840,4,7,22,72,9,132,"73,88,107,79,44","53,114,6,128,75"
58,5233537413,4391441714,True,1581199608,2001,4515,3,7,22,62,8,131,"104,12,87,27,47","9,25,19,45,93"
57,5233537403,4391443008,False,1581199604,2166,4391,5,7,22,76,9,111,"3,7,6,126,32","83,13,67,36,28"
56,5233537017,4391441803,True,1581199581,1901,4271,4,7,22,66,7,135,"128,46,102,54,14","1,25,104,105,119"
55,5233536912,4391445606,False,1581199544,2323,4628,4,7,22,76,5,133,"106,4,84,58,51","90,69,17,100,93"
54,5233536806,4391437618,True,1581199565,1795,4352,6,7,22,59,10,134,"43,9,44,28,62","13,93,31,38,91"
53,5233536708,4391435964,True,1581199530,1774,4459,2,0,4,45,3,122,"15,87,35,32,93","126,21,63,20,45"
52,5233536602,4391441070,False,1581199559,2065,4305,5,7,22,72,6,111,"31,52,101,70,104","36,21,30,12,22"
51,5233536506,4391433562,False,1581199550,1507,4418,5,7,22,72,8,134,"75,110,126,120,6","114,31,98,83,8"
50,5233536502,4391435814,False,1581199541,1599,4577,3,0,22,70,6,131,"30,93,26,110,32","101,23,4,28,40"
49,5233536500,4391438538,True,1581199547,1821,5484,4,7,22,80,7,137,"35,87,100,58,93","128,47,3,82,16"
48,5233536101,4391436053,True,1581199524,1806,4698,2,0,4,61,5,134,"76,6,47,104,100","56,87,18,128,72"
47,5233536006,4391435696,True,1581199521,1626,4590,6,7,22,76,9,151,"84,57,31,4,82","112,77,129,74,46"
46,5233535917,4391449864,True,1581199484,2505,4127,1,7,22,51,3,131,"14,19,84,37,6","114,18,120,90,50"
45,5233535817,4391438837,True,1581199506,1859,4315,4,7,3,63,10,227,"27,100,73,104,32","22,69,84,76,54"
44,5233535317,4391443498,False,1581199448,2315,5103,7,7,22,79,9,131,"129,98,19,87,10","5,12,112,25,13"
43,5233535117,4391440235,False,1581199452,1997,5751,5,7,22,80,6,122,"12,104,31,80,7","102,86,16,11,53"
42,5233535116,4391433722,False,1581199455,1507,4417,3,7,22,64,9,187,"46,1,13,30,40","70,25,91,31,28"
41,5233534919,4391442801,False,1581199439,2283,5239,5,7,22,79,6,121,"95,110,93,79,128","106,96,26,121,1"
40,5233534800,4391443368,True,1581199411,2355,5760,3,7,22,80,3,138,"93,102,3,88,120","65,104,128,46,42"
39,5233534714,4391436645,True,1581199403,1863,4191,2,7,22,57,3,251,"64,28,8,62,34","23,14,87,52,54"
38,5233534512,4391441233,False,1581199413,2198,4737,6,7,22,79,6,134,"120,46,4,105,2","36,11,14,69,128"
37,5233534418,4391444242,True,1581199396,2497,4425,3,7,22,79,7,138,"71,106,50,17,20","12,128,82,80,87"
36,5233534307,4391435136,True,1581199399,1649,5411,4,7,22,71,5,134,"86,11,19,104,72","58,10,56,37,1"
35,5233534217,4391448297,False,1581199391,2795,4278,6,7,22,68,10,193,"44,114,121,91,108","6,13,107,31,58"
34,5233533815,4391440635,True,1581199337,2109,4353,6,7,22,70,8,136,"88,111,106,84,67","31,33,12,75,46"
33,5233533713,4391438646,True,1581199346,2043,4322,1,7,22,62,5,152,"75,12,22,87,69","11,53,114,26,119"
32,5233533616,4391449246,False,1581199344,2662,4638,5,7,22,71,6,192,"51,95,13,86,64","14,32,69,128,12"
31,5233533105,4391445834,True,1581199310,2569,4371,3,7,22,70,5,122,"114,60,39,31,121","22,14,4,84,104"
30,5233532306,4391448610,True,1581199254,2925,4434,3,7,22,53,4,251,"41,19,30,25,14","7,114,98,106,26"
29,5233532208,4391433343,True,1581199249,1770,4373,2,7,22,61,7,135,"84,6,30,15,104","96,39,121,1,5"
28,5233531602,4391429154,True,1581199178,1399,4916,4,7,22,75,6,132,"126,112,12,21,88","11,119,93,68,129"
27,5233531512,4391445457,True,1581199176,2716,4550,7,7,22,72,8,133,"11,83,120,31,93","84,113,88,23,57"
26,5233531317,4391449307,False,1581199182,3103,4351,6,7,22,59,8,202,"96,86,31,106,97","64,98,84,17,54"
25,5233530406,4391440838,False,1581199121,2453,4615,2,7,22,65,4,137,"16,41,121,98,128","59,20,57,53,6"
24,5233530200,4391438367,False,1581199108,2228,4737,2,7,22,73,4,135,"44,128,26,14,25","6,11,84,85,28"
23,5233530010,4391431409,True,1581199087,1799,4685,3,7,22,77,6,132,"25,58,6,11,16","31,8,59,119,15"
22,5233530005,4391439375,False,1581199092,2383,4923,1,7,22,32,5,187,"58,50,28,114,54","70,27,106,75,99"
21,5233529910,4391428699,True,1581199083,1575,4635,4,7,22,80,6,181,"34,28,32,58,128","104,12,26,121,40"
20,5233529711,4391440916,True,1581199062,2494,4804,2,0,22,53,6,144,"70,83,54,86,74","114,30,97,93,32"
19,5233529710,4391426376,True,1581199072,1268,4294,7,7,22,69,8,184,"40,82,16,114,50","68,14,81,62,101"
18,5233529603,4391430323,True,1581199066,1711,4524,7,0,22,65,8,136,"1,5,17,38,50","128,67,31,34,55"
17,5233529314,4391433789,False,1581199029,2016,4176,2,7,22,54,5,136,"10,87,104,39,1","94,31,14,73,19"
16,5233529303,4391433508,False,1581199043,1959,4558,3,7,22,68,7,192,"14,28,25,93,11","4,41,99,128,21"
15,5233529100,4391444922,True,1581199016,2937,4108,2,7,22,60,5,188,"12,126,107,68,104","69,47,84,88,93"
14,5233528712,4391443102,False,1581199003,2713,5026,1,7,22,46,6,136,"87,80,32,13,86","12,25,51,74,14"
13,5233528318,4391425537,True,1581198972,1427,5776,4,7,22,80,7,188,"25,84,114,104,17","70,31,28,91,11"
12,5233528117,4391424321,False,1581198952,1357,5762,5,7,22,80,6,122,"103,93,91,121,38","126,8,51,5,31"
11,5233528112,4391426594,True,1581198965,1565,5670,6,7,22,79,8,136,"11,54,7,28,3","13,86,30,95,98"
10,5233528019,4391435749,False,1581198943,2028,4179,4,7,22,67,7,122,"54,45,21,58,111","11,15,93,91,19"
9,5233527806,4391434114,True,1581198930,1822,4522,4,7,22,58,8,132,"75,119,97,69,54","8,83,23,114,112"
8,5233527600,4391431416,True,1581198929,1942,4301,7,7,22,70,8,135,"129,44,19,128,23","21,86,28,88,109"
7,5233527505,4391444834,False,1581198920,2870,4297,6,7,22,64,8,131,"57,17,33,72,128","13,12,23,34,86"
6,5233527502,4391442040,False,1581198914,2461,4240,2,7,2,43,5,183,"97,86,44,31,20","3,121,74,104,95"
5,5233527416,4391442858,True,1581198915,2818,4143,4,0,22,69,4,123,"86,114,19,44,65","69,121,28,63,76"
4,5233527204,4391426389,True,1581198903,1552,4415,1,7,22,64,3,251,"15,14,98,93,27","129,74,54,3,9"
3,5233527004,4391431648,False,1581198889,1969,5071,2,7,22,64,6,134,"89,21,14,2,37","95,104,9,84,25"
2,5233526718,4391424450,False,1581198866,1500,4349,1,7,22,48,5,187,"93,84,58,80,46","38,59,20,5,54"
1,5233526713,4391432298,False,1581198862,1887,5717,5,7,22,79,7,137,"129,37,76,7,44","57,98,59,25,86"
0,5233526701,4391441313,True,1581198866,2670,5147,1,7,22,64,5,153,"44,65,84,35,104","22,14,34,21,93"
99,5233556314,4391441939,True,1581200988,630,5398,3,7,22,80,4,122,"128,16,50,12,51","87,93,60,106,75"
98,5233552413,4391449502,True,1581200673,1530,4428,4,7,22,72,8,183,"93,26,13,101,126","1,61,111,83,74"
97,5233550704,4391449136,False,1581200565,1589,4397,1,7,22,61,5,203,"11,42,69,33,30","87,102,86,54,76"
96,5233550606,4391440087,True,1581200560,863,4172,3,7,22,70,4,135,"91,106,79,74,14","93,69,37,75,86"
95,5233550410,4391447578,False,1581200547,1587,4596,7,7,22,71,9,122,"60,39,26,54,107","13,16,51,93,21"
94,5233550003,4391448919,False,1581200513,1693,4427,7,7,22,66,9,122,"104,17,109,19,31","28,128,22,50,54"
93,5233549317,4391448252,False,1581200463,1745,4441,4,7,22,72,5,133,"46,8,26,28,85","59,31,110,41,14"
92,5233549210,4391444609,False,1581200465,1472,4991,4,7,22,79,7,154,"126,37,98,13,54","65,12,46,84,7"
91,5233548801,4391440517,True,1581200430,1074,6206,4,7,22,80,5,133,"86,54,111,59,65","96,3,121,1,32"
90,5233547109,4391441921,True,1581200299,1376,4155,1,7,22,59,5,192,"101,6,80,128,38","84,54,45,62,22"
89,5233546907,4391448137,False,1581200291,1760,4303,4,7,22,77,7,135,"89,17,110,126,90","57,128,105,4,59"
